Vocato 6-Month Financial Projections (Updated),Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,6-Month Total
Ending Cash,"-$10,174","-$19,622","-$25,026","-$23,229","-$10,213","$29,679",
,,,,,,,
KEY METRICS,,,,,,,
CAC (Customer Acquisition Cost),"$1,000","$1,700","$1,500","$1,333","$1,667","$1,500",
LTV (3% churn),"$456,000","$395,000","$450,667","$529,667","$545,333","$594,333",
LTV:CAC Ratio,456:1,232:1,300:1,397:1,327:1,396:1,
Monthly Churn Rate,0%,0%,0%,3%,3%,3%,
Infrastructure as % of Revenue,8.29%,11.57%,11.95%,11.59%,10.84%,9.41%,
Months to Break-even,4,3,2,1,0,0,
Required Starting Capital,"$15,000","$19,622","$25,026","$23,229",0,0,"$82,877"
